"Year","Location","Name","ICU Rating","FIDE rating","Title","Score",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"Limerick","Ray Byrne",1941,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Daly Colm",2343,2343,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Brady Stephen",2346,2320,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","McPhillips Karl",2199,2225,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Jessel Stephen",2227,2285,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Short Philip",2238,2300,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Jeffares Simon",2077,2077,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","O'Connell Gerard",2088,2134,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","O'Donovan Richard",1981,2155,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Fitzsimons David",1888,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Fox Anthony",2014,2118,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Freeman Gordon",2101,2101,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","MacElligott Gerard",2054,2128,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","O'Rourke Ray",1839,2071,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Beveridge Allan",2054,2128,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Boyle Bernard",1800,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Murray David B.",2001,1985,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","English Kieran",1873,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Salter David",1916,,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","O'Leary Matt",1787,"na","na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"Dublin","Palmer Bernard",1870,2018,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","Brady Stephen",2339,2344,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","Jessel Stephen",2350,2223,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","Short Philip",2284,"na","FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","Daly Colm",2357,2336,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","Fox Anthony",2117,2098,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","MacElligott Gerard",2122,1903,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","Cafolla Peter",2062,1966,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","Delaney Killian",2096,1870,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","Fitzsimons David",2160,2081,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","Boyle Bernard",1944,1742,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","Keogh Eamon",2108,2038,"NM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"Dublin","O'Leary Matt",1787,"na",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"Dublin","Hebden Mark",2519,2519,"GM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"Dublin","Pert, Nick",2525,2525,"GM",,,,,,,,,,,,,,,,,,,,,,,,,0,7,"1-2"
2007,"Dublin","Brady, Stephen",2349,2360,"FM",,,,,,,,,,,,,,,,,,,,,,,,,2,"6½","3-6"
2007,"Dublin","Kelly, Brian",2480,2480,"IM",,,,,,,,,,,,,,,,,,,,,,,,,1,"6½","3-6"
2007,"Dublin","Conquest, Stuart",2546,2546,"GM",,,,,,,,,,,,,,,,,,,,,,,,,2,"6½","3-6"
2007,"Dublin","Rozentalis, Eduardas",2578,2578,"GM",,,,,,,,,,,,,,,,,,,,,,,,,1,"6½","3-6"
2007,"Dublin","O'Connell, Gerard",2042,2146,"na",,,,,,,,,,,,,,,,,,,,,,,,,2,6,"7-8"
2007,"Dublin","Short, Philip",2277,2277,"FM",,,,,,,,,,,,,,,,,,,,,,,,,2,6,"7-8"
2007,"Dublin","Daly, Colm",2284,2353,"FM",,,,,,,,,,,,,,,,,,,,,,,,,3,"5½","9-13"
2007,"Dublin","Glienke, Manfred",2312,2312,"IM",,,,,,,,,,,,,,,,,,,,,,,,,1,"5½","9-13"
2007,"Dublin","MacElligott, Gerard",2019,2130,"na",,,,,,,,,,,,,,,,,,,,,,,,,1,"5½","9-13"
2007,"Dublin","Orr, Mark J. L.",2220,2293,"IM",,,,,,,,,,,,,,,,,,,,,,,,,2,"5½","9-13"
2007,"Dublin","Wall, Gavin",2324,2324,"IM",,,,,,,,,,,,,,,,,,,,,,,,,3,"5½","9-13"
2007,"Dublin","Fitzsimons, David",2130,2133,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,5,"14-22"
2007,"Dublin","Fox, Anthony",2021,2087,"na",,,,,,,,,,,,,,,,,,,,,,,,,2,5,"14-22"
2007,"Dublin","Freeman, Gordon",2073,2100,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,5,"14-22"
2007,"Dublin","Griffiths, Ryan-Rhys",1949,2103,"na",,,,,,,,,,,,,,,,,,,,,,,,,2,5,"14-22"
2007,"Dublin","Jeffares, Simon",2138,2095,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,5,"14-22"
2007,"Dublin","Jessel, Stephen",2255,2356,"FM",,,,,,,,,,,,,,,,,,,,,,,,,3,5,"14-22"
2007,"Dublin","McMorrow, John",1883,,"na",,,,,,,,,,,,,,,,,,,,,,,,,2,5,"14-22"
2007,"Dublin","Osborne, Sam C.",1927,1929,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,5,"14-22"
2007,"Dublin","Redmond, John",2207,2226,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,5,"14-22"
2007,"Dublin","Boyle, Bernard",1803,1977,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,"4½","23-29"
2007,"Dublin","Daly, Justin",1752,,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,"4½","23-29"
2007,"Dublin","Kalam, Abul",,,"na",,,,,,,,,,,,,,,,,,,,,,,,,4,"4½","23-29"
2007,"Dublin","Keogh, Eamon",1998,2074,"NM",,,,,,,,,,,,,,,,,,,,,,,,,3,"4½","23-29"
